Feature,Type,Correlation,F-Score,P-Value,Mutual Information
Curricular units 2nd sem (approved),Numerical,0.5833796365960086,2281.3699709143093,0.0,0.21920724249299983
Curricular units 2nd sem (grade),Numerical,0.5717922029440707,2148.055485015897,0.0,0.18529138905891607
Curricular units 1st sem (approved),Numerical,0.5259631549590932,1691.115364536462,2.47933075887e-313,0.16928969370349178
Curricular units 1st sem (grade),Numerical,0.48066906529673653,1328.6447880117391,1.3387168593419536e-254,0.14364122914947908
Tuition fees up to date,Numerical,0.42914928452624385,998.240941573683,9.862491187109252e-198,0.07675399091304635
Curricular units 2nd sem (evaluations),Numerical,0.16326068116963763,121.09179595658689,8.347333900580747e-28,0.06914396461014194
Age at enrollment,Numerical,-0.2901856682435073,406.6059038602401,1.4076206073843679e-86,0.0543444195120264
Course,Numerical,0.002332954826599652,0.024067654104970967,0.8767199739859342,0.034398378744933344
Previous qualification (grade),Numerical,0.08164248913477407,29.67260609219113,5.392901785760895e-08,0.025924619854819086
Admission grade,Numerical,0.09845381637504311,43.28267241340188,5.2887454494096533e-11,0.01515827671667469
